volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
				Joseph Cottler.	Roger Williams.	A40419	1950-01-02	RE9709	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Winifred Wise Graham.	Thomas Alva Edison.	A40421	1950-01-02	RE9710	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Clara Ingram Judson.	James Jerome Hill.	A40422	1950-01-02	RE9711	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Frances Cavanah.	Abraham Lincoln.	A40423	1950-01-02	RE9934	1978-12-22	Frances Cavanah|PWH						
				Elizabeth Kinloch Solem.	Robert E. Lee.	A40424	1950-01-02	RE11861	1978-12-14	Harper & Row Publishers, Inc.|PWH						
				Josephine Blackstock.	Jane Addams.	A40425	1950-01-02	RE9712	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Clara Ingram Judson.	John Jacob Astor.	A40426	1950-01-02	RE9713	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Jeannette Covert Nolan.	Daniel Boone.	A40427	1950-01-02	RE31317	1978-09-22	Frances Cavanah|PWH						
				Jeannette Covert Nolan.	Daniel Boone.	A40427	1950-01-02	RE7545	1978-10-30	Alan T. Nolan|C||Val Nolan, Jr.|C||Kathleen Nolan Lobley|C						
				Josephine E. Phillips.	Rufus Putnam.	A40428	1950-01-02	RE9714	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Faith Yingling Knoop.	Zebulon Pike.	A40430	1950-01-02	RE9715	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Frances Fullerton Neilson & Winthrop Neilson.	Benjamin Franklin.	A40432	1950-01-02	RE9716	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Frances Cavanah.	George Washington.	A40433	1950-01-02	RE9935	1978-12-22	Frances Cavanah|PWH						
				Ruth Langland Holberg.	Abigail Adams.	A40434	1950-01-02	RE9717	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Ruth Cromer Weir.	John Paul Jones.	A40435	1950-01-02	RE9718	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Joseph Cottler.	Thomas Jefferson.	A40436	1950-01-02	RE9719	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Vesta E. Condon.	Father Serra.	A40437	1950-01-02	RE9720	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Noel Streatfeild.	Mothering Sunday.	A40852|AI2583	1950-02-09|1950-01-02	RE4625	1978-07-14	Noel Streatfeild|A						
				Paul B. Mulligan.	Manual of standard time data for the office.	A367589	1950-01-02	RE15587	1978-12-22	Sharon Heib|C						
					Life.  Vol. 8, no. 2.	B231031	1950-01-02	RE4162	1978-06-29	Time, Inc.|PCW						
				Ronald Wilkinson.	Mountain air; a light comedy in three acts.	D23364	1950-01-02	RE82	1978-01-03	Ronald Wilkinson|A						
				Mabel O'Donnell, photos.: Vernon Derry.	Engine whistles.	J6191	1950-01-02	RE8631	1978-11-27	Mabel O'Donnell|A						
				Mabel O'Donnell, photos.: Vernon Derry.	Singing wheels.  Pt. 1.	J6193	1950-01-02	RE8632	1978-11-27	Mabel O'Donnell|A						
				Mabel O'Donnell, photos.: Vernon Derry.	Singing wheels.  Pt. 2.	J6194	1950-01-02	RE8633	1978-11-27	Mabel O'Donnell|A						
				Cyrus Biscardi.	Medaglia d'oro band and design.	KK48245	1950-01-02	RE6806	1978-10-25	S. A. Schonbrunn & Company, Inc.|PWH						
					Hopalong Cassidy and the square dance holdup.	TX274834	1950-01-02	RE36737	1978-12-29	William L. Boyd Trust|PWH						
				Theodore Pratt.	The Flame tree.	A39553	1950-01-03	RE4596	1978-07-12	Belle J. Pratt|W						
				Howard N. Hinga, John W. Beattie, Josephine Wolverton & Grace V. Wilson.	The American singer.  Book 3.	A39561	1950-01-03	RE35965	1978-12-28	Howard N. Hinga|A						
				Catherine Hubbell.	Frances.	A39625	1950-01-03	RE13670	1978-12-08	Catherine Hubbell|A						
				Donald Devenish Walsh.	A Brief introduction to Spanish.|Introductory Spanish	A39626	1950-01-03	RE474	1978-02-07	Donald Devenish Walsh|A						
				John B. Condliffe.	The Commerce of nations.	A39627	1950-01-03	RE7564	1978-10-30	John B. Condliffe|A						
				Louis Levy, Edward W. Mammen & Robert Sonkin.	Voice and diction handbook.	A39712	1950-01-03	RE55119	1978-03-13	Louis Levy|A||Edward W. Mammen|A||Robert Sonkin|A						
				Horace C. Levinson.	The Science of chance, from probability to statistics.	A39765	1950-01-03	RE524	1978-02-16	John J. Harvey|E						
				B. B. Vance & D. F. Miller, edited by W. R. Teeters.	Biology for you.	A39772	1950-01-03	RE222	1978-01-30	Erma E. Vance|W						
				Wilfred Tyler & Frances Tyler.	The Little world of home.	A39827	1950-01-03	RE125	1978-01-04	Frances Tyler|A						
				Hildegarde Tolman Teilhet.	The Rim of terror.	A39866	1950-01-03	RE4765	1978-04-24	Hildegarde Tolman Teilhet|A						
				Joseph A. Babor & Alexander Lehrman.	Introductory college chemistry.	A39904	1950-01-03	RE8344	1978-11-15	Ethel Lehrman|W						
				Howard E. Wilson, Florence H. Wilson, Bessie P. Erb & Elgie Clucas.	Out of the past.	A39939	1950-01-03	RE22575	1978-12-28	Howard E. Wilson|A						
				William C. Bridgman & Louis Woodson Curtis.	The American singer; advanced book.	A39940	1950-01-03	RE22576	1978-12-28	William C. Bridgman|A						
				Lawrence G. Blochman.	Diagnosis: homicide; the casebook of Dr. Coffee.	A39986	1950-01-03	RE219	1978-01-30	Marguerite Maillard Blochman|W						
				Leon H. Canfield & Howard B. Wilder, editors: Howard R. Anderson, Ellis Merton Coulter, John D. Hicks & Nelson P. Mead.	The Making of modern America.|United States in the making.	A40054	1950-01-03	RE4072	1978-06-20	Leon H. Canfield|A||Ellis Merton Coulter|A||Esther N. Wilder|W||Monica Anderson|W||Lucile C. Hicks|W||Florence Schank|C						
				Thomas Sterling.	The House without a door.	A40699	1950-01-03	RE65402	1978-10-05	Thomas Sterling|A						
				Frank Bunce.	So young a body.	A40700	1950-01-03	RE3795	1978-06-12	Frank Bunce|A						
				Martin D. Stevers & editorial staff of F. E. Compton and Company.	Compton's pictured encyclopedia.  Vol. 1-15.	A69791	1950-01-03	RE5841	1978-09-05	Encyclopaedia Britannica, Inc.|PCW						
				Fremont P. Wirth, bringing down to date by Jack Allen.	The Development of America; teacher's manual.	A138559	1950-01-03	RE35957	1978-12-28	Jack Allen|A						
					Group voice; a systematic course in singing for use in group instruction.  Revision: Bernard U. Taylor.	A165503	1950-01-03	RE3106	1978-05-12	Bernard U. Taylor|A						
				C. Reade, adapted by Albert L. Kanter.	The Cloister & the hearth.	AA139134	1950-01-03	RE836	1978-02-27	Frawley Enterprises|PWH						
				Bertha Morris Parker & Mabel O'Donnell.	Primary manual I.	AA171772	1950-01-03	RE9228	1978-11-27	Bertha Morris Parker|A||Mabel O'Donnell|A						
				William Jay Smith.	Piazza.  For a deaf angora cat.  Lady in Orange County.	B225878	1950-01-03	RE4294	1978-07-14	William Jay Smith|A						
				R. V. Cassill.	Larchmoor is not the world; a short story.	B226290	1950-01-03	RE12131	1978-12-27	R. V. Cassill|A						
					Medieval literature in translation.  Editor: Charles W. Jones.	A39466	1950-01-04	RE12117	1978-12-26	Charles W. Jones|A						
				Arthur Whitefield Spalding.	Christ's last legion.	A39560	1950-01-04	RE65371	1978-09-28	Elizabeth Spalding McFadden|C||Joseph J. Singer|C||Mae Spalding Cole|C						
				Virgil Henry.	The Place of religion in public schools; a handbook to guide communities.	A39640	1950-01-04	RE4053	1978-06-15	Virgil Henry|A						
				William VanTil, John J. DeBoer, R. Will Burnett & Kathleen Coyle Ogden.	Democracy demands it; a resource unit for intercultural education in the high school.	A39645	1950-01-04	RE11863	1978-12-26	R. Will Burnett|A						
				Lloyd Stuart Woodburne.	Faculty personnel policies in higher education.	A396443	1950-01-04	RE81759	1978-03-23	Lloyd S. Woodburne|A						
					Motor boating.  Vol. 85, no. 1, Jan. 1950.	B225955	1950-01-04	RE9986	1978-12-20	The Hearst Corporation|PCW						
				Ted Key.	Hazel.|The Saturday evening post, Jan. 7, 1950	B225989	1950-01-04	RE10493	1978-12-29	Ted Key|A						
					Artnews.  Vol. 48, no. 9, Jan. 1950.	B226666	1950-01-04	RE8756	1978-11-21	Artnews Associates|PCW						
					Harper's magazine.  Vol. 200, no. 1196, Jan. 1950.	B231024	1950-01-04	RE209	1978-01-30	Minneapolis Star and Tribune Company, Inc.|PCW						
				James Burnham.	American Mercury, Jan. 1950|The Coming defeat of Communism.	A39632	1950-01-05	RE7381	1978-10-19	James Burnham|A					One chapter of the book appeared in American Mercury, Jan. 1950.	
				S. S. Huebner.	Life insurance.	A39684	1950-01-05	RE55118	1978-03-13	S. S. Huebner|A						
				Sir Frederick Morgan, foreward by Dwight D. Eisenhower.	Overture to Overlord.	A39689	1950-01-05	RE7698	1978-11-01	Lady Marjorie C. Morgan|W						
				Dorothy Stote.	Men, too, wear clothes.	A39768	1950-01-05	RE11734	1978-12-22	Dorothy Stote|A						
				Peggy Lamson.	The Charmed circle.	A39829	1950-01-05	RE15648	1978-12-22	Peggy Lamson|A						
				Nancy Wilson Ross (Nancy Wilson Ross Young)	I, my ancestor.	A39947	1950-01-05	RE4324	1978-05-15	Nancy Wilson Ross|M						
				Thomas Ewing Dabney.	The Man who bought the Waldorf.	A40203	1950-01-05	RE210	1978-01-20	Thomas Dabney|A						
				Alexander J. Stoddard.	Stoddard-Bailey English; teacher's guide & key.  4th course.	AA138159	1950-01-05	RE35956	1978-12-28	Hudson G. Stoddard|C						
					The Nation.  Vol. 170, no. 1, Jan. 7, 1950.	B226085	1950-01-05	RE10272	1978-12-18	The Nation Associates, Inc.|PCW						
					Publisher's weekly.  Vol. 157, no. 1, Jan. 7, 1950.	B230152	1950-01-05	RE27399	1978-02-27	Xerox Corporation|PCW						
					Cancer; diagnosis, treatment, research.  Vol. 2, no. 6, Nov. 1949.	B231152	1950-01-05	RE9969	1978-12-22	American Cancer Society, Inc.|PCW						
					Exciting love.  Vol. 15, no. 3, Mar. 1950.	B235211	1950-01-05	RE3976	1978-06-29	B. S. Inc|PCW						
				Edwin M. Bohm.	Jessup-Redfield Law and practice in the Surrogates' Courts in the State of New York.  Vol. 4.	A40297	1950-01-06	RE217	1978-01-31	The Lawyers Co-operative Publishing Company|PWH					Appl. states copyright is not claimed in any material secured from official U.S. Govt. sources.	
				Uncle Joe, pseud. of Joseph Francis Weber.	The Waitress.	AA138293	1950-01-06	RE34142	1978-12-26	Joseph Thomas Weber|C						
				Edwin M. Bohm.	Jessup-Redfield Law and practice in the Surrogates' Courts in the State of New York.  Vol. 1-3, 1949 suppl.	AA140225	1950-01-06	RE218	1978-01-31	The Lawyers Co-operative Publishing Company|PWH					Appl. states copyright is not claimed in any material secured from official U. S. Govt. sources.	
					Life.  Vol. 28, no. 2.	B226506	1950-01-06	RE4159	1978-06-29	Time, Inc.|PCW						
				Ray Bradbury.	The Exiles.	B227094	1950-01-06	RE8370	1978-11-17	Ray Bradbury|A						
					Congressional quarterly log weekly report.  Vol. 8, no. 1, Jan. 6, 1950.	B227507	1950-01-06	RE6905	1978-08-10	Congressional Quarterly, Inc.|PWH						
				John G. Daiger.	Daiger time conversion chart.	AA161460	1950-01-07	RE7739	1978-11-09	John G. Daiger|A						
				Norman Vincent Peale.	A Way of living that brings satisfaction.	AA157437	1950-01-08	RE7421	1978-10-25	Foundation For Christian Living|PWH						
				Virgil Thomson.	The First fifty years.	B225755	1950-01-08	RE13165	1978-12-27	Virgil Thomson|A						
				Dorothy Salisbury Davis.	The Clay hand.	A39767	1950-01-09	RE7736	1978-10-30	Dorothy Salisbury Davis|A						
				Robert L. Gold.	Smith and the O P A: a regional administrator resigns.	A39981	1950-01-09	RE4886	1978-07-24	Inter-University Case Program, Inc.|PWH						
					Life.  Vol. 8, no. 3.	B230606	1950-01-09	RE4160	1978-06-29	Time, Inc.|PCW						
					American Orchid Society bulletin.  Vol. 19, no. 1.	B231126	1950-01-09	RE5754	1978-09-08	American Orchid Society, Inc.|PCW						
				Andrew John Weary.	Spiritual research work through divine revelations.	C4397	1950-01-09	RE15187	1978-07-05	Emma Irene Ethel Weary|W||Morie M. Weary|C||Governor D. G. Weary|C||Elane Weary|C						
				Gore Vidal.	A Search for the king; a twelfth century legend.	A39707	1950-01-10	RE5624	1978-07-31	Gore Vidal|A						
				Sheila MacKay Russell.	A Lamp is heavy.|Nurse please	A40048	1950-01-10	RE11735	1978-12-22	Sheila MacKay Russell|A					Ill. from Nurse please, by Jean McConnell.	
				I. A. Richards, Christine Gibson & M. H. Ilsley.	French: self taught with pictures.	A40501	1950-01-10	RE6557	1978-09-25	Language Research, Inc.|PWH						
				Grace & Carl Moon, ill.: Carl Moon.	One little Indian.	A41423	1950-01-10	RE12134	1978-12-27	Albert Whitman & Company|PWH						
				Charles Yerkow.	"The ""Small luck"" of Orni Buckson; a short story."	B226282	1950-01-10	RE6041	1978-10-02	Charles Yerkow|A						
				Ward Moore.	Swords of peace; a short story.	B227254	1950-01-10	RE8465	1978-11-30	Raylyn Moore|W						
					The Alaska sportsman.  Vol. 16, no. 2, Feb. 1950.	B227833	1950-01-10	RE2929	1978-05-15	Alaska Northwest Publishing Company|PCW						
					The Musical quarterly.  Vol. 36, no. 1, Jan. 1950.	B233534	1950-01-10	RE3107	1978-05-12	G. Schirmer, Inc.|PCW						
					Rodeo romances.  Vol. 14, no. 1, spring 1950.	B234178	1950-01-10	RE3957	1978-06-30	B. S. Inc|PCW						
					Geographic school bulletins.  Vol. 28, no. 13, Jan. 9, 1950.	B236868	1950-01-10	RE3866	1978-06-23	National Geographic Society|PCW						
					National geographic magazine.  Vol. 97, no. 2, Feb. 1950.	B237009	1950-01-10	RE3553	1978-06-08	National Geographic Society|PCW						
					Ebony.  Vol. 5, no. 4, Feb. 1950.	B252630	1950-01-10	RE12106	1978-12-07	Johnson Publishing Company, Inc.|PCW						
				William Joseph Miller.	The Wishing well.	B5-12766	1950-01-10	RE8639	1978-11-30	Olive Miller|NK||Esther Dorothy Meyers|NK						
				Helen Lenore Kromer.	Poli.	DU22789	1950-01-10	RE9283	1978-12-26	Helen Lenore Kromer|A						
				Roscoe N. Gray.	Gray's Attorneys' textbook of medicine.  Vol. 1 & 2.	A39676	1950-01-11	RE10618	1978-12-18	Matthew Bender & Company, Inc.|PWH						
				Judith Merril.	Shot in the dark.	A39792	1950-01-11	RE1385	1978-03-27	Judith Merril|A						
				James Arthur Estey.	Business cycles.	A40001	1950-01-11	RE5966	1978-09-05	James Arthur Estey|A						
				Nels A. Bengtson & William VanRoyen.	Fundamentals of economic geography.	A40002	1950-01-11	RE815	1978-02-24	Nels A. Bengtson|A||William VanRoyen|A						
				Hodding Carter.	Just leave us alone.|The Saturday evening post, Jan. 14, 1950	B226827	1950-01-11	RE14226	1978-12-27	Betty Carter|W||Philip Carter|C						
				Ted Key.	Hazel.|The Saturday evening post, Jan. 14, 1950	B226827	1950-01-11	RE10494	1978-12-29	Ted Key|A						
					Master comics.  Vol. 19, no. 113, Mar. 1950.	B229155	1950-01-11	RE349	1978-01-30	Fawcett Publications, Inc.|PWH						
				Emile Carlos Schurmacher, ill.: Donald William McKay.	Knee pants.	A39974	1950-01-12	RE7577	1978-10-31	Violet Schurmacher|W||John J. Schurmacher|C||Susan S. Clark|C						
				Henry Denker.	My son, the lawyer.	A39975	1950-01-12	RE7382	1978-10-19	Henry Denker|A						
					The Nation.  Vol. 170, no. 2, Jan. 14, 1950.	B226784	1950-01-12	RE10273	1978-12-18	The Nation Associates, Inc.|PCW						
					Publisher's weekly.  Vol. 157, no. 2, Jan. 14, 1950.	B230153	1950-01-12	RE27400	1978-02-27	Xerox Corporation|PCW						
				Ansel Adams.	The Print: contact printing and enlarging.	A40817	1950-01-13	RE1440	1978-03-17	Ansel Adams|A						
					Digest of United States Supreme Court reports annotated; covering 1-332 (p 369) U S, 1-91 L Ed, 1-67 S Ct with cumulative pocket supplements.  Vol. 13: taxes to zoning.	AA140060	1950-01-13	RE216	1978-02-01	The Lawyers Co-operative Publishing Company|PWH					Appl. states copyright is not claimed in any material secured from official U.S. Govt. sources.	
					The Atlantic monthly.  Vol. 185, no. 2, Feb. 1950.	B230260	1950-01-13	RE15	1978-01-09	The Atlantic Monthly Company|PCW						
					Educating women in a man's world.|The Atlantic monthly, Feb. 1950	B230260	1950-01-13	RE2766	1978-05-30	Lynn White|A						
					Life.  Vol. 28, no. 3.	B231033	1950-01-13	RE4164	1978-06-29	Time, Inc.|PCW						
					Congressional quarterly log weekly report.  Vol. 8, no. 2, Jan. 13, 1950.	B233909	1950-01-13	RE6908	1978-08-10	Congressional Quarterly, Inc.|PWH						
				Trendle-Striker.	A Look to the future.	DU23136	1950-01-13	RE3517	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Trendle-Holt.	The End of the Yuma Kid.	DU23137	1950-01-13	RE3518	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Trendle-Striker.	Banner of Virginia.	DU23138	1950-01-13	RE3519	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Trendle-Beattie.	The Would-be outlaw.	DU23139	1950-01-13	RE3520	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Trendle-Goll.	The Petrified giant.	DU23140	1950-01-13	RE3521	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Trendle-Beattie.	Comanche raid.	DU23141	1950-01-13	RE3522	1978-06-16	Lone Ranger Television, Inc.|PWH						
				Tom Dougall.	The Battle at Bradley's.	DU23142	1950-01-13	RE10140	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Dan Beattie.	Barry Jeffer's trust.	DU23143	1950-01-13	RE10141	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Tom Dougall.	Red devil.	DU23144	1950-01-13	RE10142	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Tom Dougall.	The Miners meeting.	DU23145	1950-01-13	RE10143	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Tom Dougall.	The Diamond collar.	DU23146	1950-01-13	RE10144	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Jim Lawrence.	The Runaway heir.	DU23147	1950-01-13	RE10145	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Jim Lawrence.	Flaming valley.	DU23148	1950-01-13	RE10146	1978-12-19	Lone Ranger Television, Inc.|PWH						
				Jim Lawrence.	The Haunted mine.	DU23149	1950-01-13	RE10147	1978-12-19	Lone Ranger Television, Inc.|PWH						
					Chemical abstracts.  Vol. 44, no. 1, Jan. 10, 1950.	B227505	1950-01-14	RE8802	1978-12-18	American Chemical Society|PCW						
				Norman Vincent Peale.	The Magic formula of this life.	AA157438	1950-01-15	RE7422	1978-10-25	Foundation For Christian Living|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF913	1950-01-15	RE9238	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Kneeling Wiseman; reproduction of original sculpture.	HF916	1950-01-15	RE9240	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Camel driver; reproduction of original sculpture.	HF917	1950-01-15	RE9241	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF918	1950-01-15	RE9242	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Angel; reproduction of original sculpture.	HF919	1950-01-15	RE9243	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF924	1950-01-15	RE9244	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Negro king; reproduction of original sculpture.	HF928	1950-01-15	RE9248	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF929	1950-01-15	RE9249	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Angel; reproduction of original sculpture.	HF932	1950-01-15	RE9251	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	White king; reproduction of original sculpture.	HF933	1950-01-15	RE9252	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF934	1950-01-15	RE9253	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Sheep; reproduction of original sculpture.	HF935	1950-01-15	RE9254	1978-12-12	S.P.A. Anri|PWH						
				Anri, S.P.A., author of original: Karl Kuolt.	Shepherd; reproduction of original sculpture.	HF937	1950-01-15	RE9255	1978-12-12	S.P.A. Anri|PWH						
				Robert Pick.	Guests of Don Lorenzo.	A40135	1950-01-16	RE7025	1978-10-11	Priscilla Pick|W						
				Richard Starnes.	And when she was bad she was murdered.	A40136	1950-01-16	RE11736	1978-12-22	Richard Starnes|A						
				Charles E. Skinner.	Elementary educational psychology.	A40253	1950-01-16	RE816	1978-02-24	Charles E. Skinner|A						
				Charles A. H. Thomson & Harold W. Metz.	Authoritarianism and the individual.	A40968	1950-01-16	RE9029	1978-12-22	The Brookings Institution|PWH						
					Farm journal.  Vol. 74, no. 2, Feb. 1950.	B228747	1950-01-16	RE71	1978-01-17	Farm Journal, Inc.|PCW						
				C. Fayette Taylor, C. G. A. Rosen, Paul S. Lane et al.	Mechanical wear.	A40764	1950-01-17	RE13863	1978-12-14	American Society for Metals|PCW						
				Norman Rockwell, Albert Dorne & Fred Ludekens.	How I make a picture.  Lesson no. 6.	A40926	1950-01-17	RE4935	1978-08-07	Bowline Corporation|PWH						
				Robert Fawcett, Albert Dorne & Fred Ludekens.	How I make a picture.  Lesson no. 10.	A40927	1950-01-17	RE4936	1978-08-07	Bowline Corporation|PWH						
				William Matthews.	British diaries; an annotated bibliography of British diaries written between 1442 and 1942.	A43645	1950-01-17	RE11303	1978-12-08	William Matthews|A						
					The American Legion magazine.  Vol. 48, no. 2, Feb. 1950.	B229674	1950-01-17	RE367	1978-02-01	The American Legion|PCW						
					Antarctic ship set to join with whaler.|The New York times, Jan. 17, 1950	B5-12558	1950-01-17	RE10120	1978-11-14	The New York Times Company & North American Newspaper Alliance|PWH						
				Henry Sylvester Nash, foreword by Henry Knox Sherrill.	The Atoning life.	A40170	1950-01-18	RE81758	1978-03-23	Henry Knox Sherrill|A						
				Edgar DeWitt Jones.	The Best of John A. Hutton.	A40171	1950-01-18	RE569	1978-02-17	Willis R. Jones|C						
				Bruno Bettelheim and Morris Janowitz.	Dynamics of prejudice; a psychological and sociological study of veterans.	A40174	1950-01-18	RE208	1978-01-26	The American Jewish Committee|PWH						
				Floyd Hiatt Ross.	Addressed to Christians; isolationism vs. world community.	A40175	1950-01-18	RE11429	1978-12-20	Floyd H. Ross|A						
				Ruth M. Tabrah.	Pulaski Place.	A40178	1950-01-18	RE8345	1978-11-15	Ruth M. Tabrah|A						
				George Edward Breen, Ralph Burnham Thompson & Harry West.	Effective selling.	A40179	1950-01-18	RE9067	1978-12-11	George Edward Breen|A||Ralph Burnham Thompson|A||Harry West|A						
				David Elton Trueblood.	Signs of hope in a century of despair.	A40180	1950-01-18	RE207	1978-01-17	D. Elton Trueblood|A						
				William Garret Crane & Frederick Carl Riedel.	How to think and write; the fundamentals of composition.	A40182	1950-01-18	RE7385	1978-10-19	Albert E. Crane|NK||Harriet Green|NK||Clara Crane|NK						
				Aubrey Drury.	How to retire to California.	A40313	1950-01-18	RE8415	1978-12-01	Newton B. Drury|NK||Muriel Drury|NK						
				Alan Hynd.	We are the public enemies.	A41483	1950-01-18	RE9201	1978-12-11	Evelyn Dobbs Hynd|W						
				Robert Fawcett.	How I make a picture.  Lessons 1-10.	A51532	1950-01-18	RE4950	1978-08-07	Bowline Corporation|PWH						
				Elizabeth Christman.	Bright, golden girl.	B227478	1950-01-18	RE12127	1978-12-22	Elizabeth Christman|A						
				Ted Key.	Hazel.|The Saturday evening post, Jan. 21, 1950	B228062	1950-01-18	RE10492	1978-12-29	Ted Key|A						
